Record_ID,Scenario,Source,Sim_Time_s,Bus_ID,Bus_Name,Frequency_Hz,Voltage_pu,Voltage_kV,Angle_deg,Active_Power_MW,Reactive_Power_MVAr,ROCOF_Hz_per_s,Ambient_Temp_C,Grid_State,Stability_Label
24,Normal_Operation,Synthetic_PhysicsInformed,2.3,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.2002,0.984,324.7,10.46,475.691,285.985,0.1251,31.4,Stable,0
25,Normal_Operation,Synthetic_PhysicsInformed,2.4,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.2884,0.9846,324.9,9.21,466.229,280.297,0.8814,31.5,Stable,0
26,Normal_Operation,Synthetic_PhysicsInformed,2.5,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.4014,0.9862,325.4,1.29,441.848,265.639,1.1303,31.5,Stable,0
27,Normal_Operation,Synthetic_PhysicsInformed,2.6,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.3692,0.9968,329.0,1.41,455.033,273.566,-0.3215,31.6,Stable,0
28,Normal_Operation,Synthetic_PhysicsInformed,2.7,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.1607,1.002,330.7,-1.16,442.783,266.201,-2.0853,31.7,Stable,0
29,Normal_Operation,Synthetic_PhysicsInformed,2.8,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.1025,1.0019,330.6,-0.33,421.042,253.13,-0.5823,31.7,Stable,0
30,Normal_Operation,Synthetic_PhysicsInformed,2.9,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.0631,1.0113,333.7,-5.58,414.205,249.02,-0.3935,31.8,Stable,0
31,Normal_Operation,Synthetic_PhysicsInformed,3.0,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.0678,1.002,330.7,-4.56,390.802,234.95,0.0467,31.8,Stable,0
32,Normal_Operation,Synthetic_PhysicsInformed,3.1,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.1352,1.002,330.6,-0.13,398.379,239.505,0.6743,31.9,Stable,0
33,Normal_Operation,Synthetic_PhysicsInformed,3.2,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.2377,0.9927,327.6,-4.02,406.423,244.342,1.0249,32.0,Stable,0
34,Normal_Operation,Synthetic_PhysicsInformed,3.3,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.3655,0.9813,323.8,-0.29,419.429,252.161,1.2777,32.0,Stable,0
35,Normal_Operation,Synthetic_PhysicsInformed,3.4,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.4699,0.9873,325.8,-0.12,409.524,246.206,1.0441,32.1,Stable,0
36,Normal_Operation,Synthetic_PhysicsInformed,3.5,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.3466,0.9893,326.5,1.94,450.954,271.113,-1.2335,32.1,Stable,0
37,Normal_Operation,Synthetic_PhysicsInformed,3.6,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.2803,0.992,327.4,2.17,441.997,265.728,-0.6621,32.2,Stable,0
38,Normal_Operation,Synthetic_PhysicsInformed,3.7,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.2872,0.9982,329.4,11.55,440.514,264.837,0.0687,32.2,Stable,0
39,Normal_Operation,Synthetic_PhysicsInformed,3.8,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.1835,1.0015,330.5,13.31,449.821,270.433,-1.0374,32.3,Stable,0
40,Normal_Operation,Synthetic_PhysicsInformed,3.9,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.1183,1.0094,333.1,16.26,462.827,278.251,-0.652,32.4,Stable,0
41,Normal_Operation,Synthetic_PhysicsInformed,4.0,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.2143,1.0132,334.3,20.57,504.241,303.15,0.9601,32.4,Stable,0
42,Normal_Operation,Synthetic_PhysicsInformed,4.1,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.2231,1.0104,333.4,24.13,530.185,318.747,0.0878,32.5,Stable,0
43,Normal_Operation,Synthetic_PhysicsInformed,4.2,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.2214,1.0135,334.5,30.12,514.918,309.569,-0.0166,32.5,Stable,0
44,Normal_Operation,Synthetic_PhysicsInformed,4.3,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.0722,1.015,334.9,31.81,498.512,299.705,-1.492,32.6,Stable,0
45,Normal_Operation,Synthetic_PhysicsInformed,4.4,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.1383,1.0185,336.1,32.7,505.451,303.877,0.6608,32.6,Stable,0
46,Normal_Operation,Synthetic_PhysicsInformed,4.5,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.1157,1.0072,332.4,38.58,500.774,301.065,-0.226,32.7,Stable,0
47,Normal_Operation,Synthetic_PhysicsInformed,4.6,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.0503,1.0105,333.5,41.2,485.685,291.994,-0.6541,32.7,Stable,0
48,Normal_Operation,Synthetic_PhysicsInformed,4.7,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.0798,1.017,335.6,40.85,490.518,294.9,0.2951,32.8,Stable,0
49,Normal_Operation,Synthetic_PhysicsInformed,4.8,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.076,1.0321,340.6,40.05,501.398,301.44,-0.0377,32.8,Stable,0
50,Normal_Operation,Synthetic_PhysicsInformed,4.9,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.0477,1.0298,339.8,48.5,497.657,299.191,-0.283,32.9,Stable,0
51,Normal_Operation,Synthetic_PhysicsInformed,5.0,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.2246,1.0252,338.3,45.7,484.457,291.255,1.7689,32.9,Stable,0
52,Normal_Operation,Synthetic_PhysicsInformed,5.1,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.1581,1.0243,338.0,44.13,485.784,292.053,-0.6649,33.0,Stable,0
53,Normal_Operation,Synthetic_PhysicsInformed,5.2,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.9818,1.0371,342.3,43.44,517.853,311.333,-1.7631,33.0,Stable,0
54,Normal_Operation,Synthetic_PhysicsInformed,5.3,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.9022,1.0373,342.3,48.61,496.065,298.235,-0.7966,33.1,Stable,0
55,Normal_Operation,Synthetic_PhysicsInformed,5.4,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.7874,1.0316,340.4,41.17,506.629,304.585,-1.1473,33.1,Stable,0
56,Normal_Operation,Synthetic_PhysicsInformed,5.5,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.9013,1.0283,339.3,34.47,494.097,297.051,1.1386,33.2,Stable,0
57,Normal_Operation,Synthetic_PhysicsInformed,5.6,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.0054,1.0301,339.9,30.78,490.191,294.703,1.0415,33.2,Stable,0
58,Normal_Operation,Synthetic_PhysicsInformed,5.7,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.117,1.0435,344.4,32.47,493.368,296.613,1.1158,33.3,Stable,0
59,Normal_Operation,Synthetic_PhysicsInformed,5.8,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.012,1.0354,341.7,27.82,500.263,300.758,-1.0507,33.3,Stable,0
60,Normal_Operation,Synthetic_PhysicsInformed,5.9,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.0578,1.0303,340.0,21.61,481.194,289.294,0.4582,33.4,Stable,0
61,Normal_Operation,Synthetic_PhysicsInformed,6.0,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.9623,1.0333,341.0,15.38,471.969,283.748,-0.9545,33.4,Stable,0
62,Normal_Operation,Synthetic_PhysicsInformed,6.1,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.0002,1.0423,344.0,16.23,489.896,294.526,0.3787,33.5,Stable,0
63,Normal_Operation,Synthetic_PhysicsInformed,6.2,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.9683,1.035,341.5,10.93,517.448,311.09,-0.3193,33.5,Stable,0
64,Normal_Operation,Synthetic_PhysicsInformed,6.3,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.0494,1.0366,342.1,15.31,512.429,308.072,0.8112,33.6,Stable,0
65,Normal_Operation,Synthetic_PhysicsInformed,6.4,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.0966,1.0369,342.2,4.86,550,330.66,0.4716,33.6,Stable,0
66,Normal_Operation,Synthetic_PhysicsInformed,6.5,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.2123,1.0253,338.3,1.52,550,330.66,1.157,33.6,Stable,0
67,Normal_Operation,Synthetic_PhysicsInformed,6.6,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.2643,1.0146,334.8,-4.74,505.873,304.131,0.5204,33.7,Stable,0
68,Normal_Operation,Synthetic_PhysicsInformed,6.7,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.2454,1.0131,334.3,-1.58,486.686,292.595,-0.189,33.7,Stable,0
69,Normal_Operation,Synthetic_PhysicsInformed,6.8,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.1352,0.9983,329.4,-3.12,491.252,295.341,-1.1021,33.8,Stable,0
70,Normal_Operation,Synthetic_PhysicsInformed,6.9,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.2079,1.0039,331.3,-5.07,515.175,309.723,0.7268,33.8,Stable,0
71,Normal_Operation,Synthetic_PhysicsInformed,7.0,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.1866,0.9991,329.7,-6.04,499.22,300.131,-0.213,33.9,Stable,0
72,Normal_Operation,Synthetic_PhysicsInformed,7.1,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.004,1.0003,330.1,-4.19,488.514,293.694,-1.8259,33.9,Stable,0
73,Normal_Operation,Synthetic_PhysicsInformed,7.2,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.9467,1.0028,330.9,-0.34,486.353,292.395,-0.5731,33.9,Stable,0
74,Normal_Operation,Synthetic_PhysicsInformed,7.3,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.9087,0.9986,329.5,-2.41,458.24,275.494,-0.3794,34.0,Stable,0
75,Normal_Operation,Synthetic_PhysicsInformed,7.4,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.9033,0.9991,329.7,3.46,475.698,285.989,-0.0546,34.0,Stable,0
76,Normal_Operation,Synthetic_PhysicsInformed,7.5,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.9908,0.9941,328.1,3.66,450.625,270.916,0.8756,34.0,Stable,0
77,Normal_Operation,Synthetic_PhysicsInformed,7.6,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.0162,0.9973,329.1,3.77,489.581,294.336,0.2542,34.1,Stable,0
78,Normal_Operation,Synthetic_PhysicsInformed,7.7,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.0608,0.9842,324.8,9.76,478.454,287.647,0.4458,34.1,Stable,0
79,Normal_Operation,Synthetic_PhysicsInformed,7.8,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.0579,0.9882,326.1,13.06,435.248,261.671,-0.0293,34.2,Stable,0
80,Normal_Operation,Synthetic_PhysicsInformed,7.9,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.9623,0.9942,328.1,18.69,473.049,284.397,-0.9556,34.2,Stable,0
81,Normal_Operation,Synthetic_PhysicsInformed,8.0,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.1085,0.9801,323.4,21.54,432.571,260.062,1.4614,34.2,Stable,0
82,Normal_Operation,Synthetic_PhysicsInformed,8.1,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.2321,0.9829,324.3,21.63,472.64,284.151,1.2366,34.3,Stable,0
83,Normal_Operation,Synthetic_PhysicsInformed,8.2,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.272,0.9705,320.3,28.31,455.885,274.078,0.3991,34.3,Stable,0
84,Normal_Operation,Synthetic_PhysicsInformed,8.3,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.2673,0.97,320.1,34.1,426.125,256.187,-0.047,34.3,Stable,0
85,Normal_Operation,Synthetic_PhysicsInformed,8.4,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.2794,0.9842,324.8,33.04,430.532,258.836,0.1203,34.4,Stable,0
86,Normal_Operation,Synthetic_PhysicsInformed,8.5,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.2816,0.9802,323.5,38.97,432.447,259.987,0.0219,34.4,Stable,0
87,Normal_Operation,Synthetic_PhysicsInformed,8.6,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.192,0.9935,327.9,41.81,428.982,257.904,-0.8958,34.4,Stable,0
88,Normal_Operation,Synthetic_PhysicsInformed,8.7,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.1314,0.9883,326.1,44.74,426.103,256.173,-0.6053,34.4,Stable,0
89,Normal_Operation,Synthetic_PhysicsInformed,8.8,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.1616,0.9876,325.9,45.01,423.979,254.896,0.3018,34.5,Stable,0
90,Normal_Operation,Synthetic_PhysicsInformed,8.9,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.2147,0.987,325.7,46.35,437.727,263.162,0.5303,34.5,Stable,0
91,Normal_Operation,Synthetic_PhysicsInformed,9.0,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.1946,0.9816,323.9,43.12,422.526,254.023,-0.2006,34.5,Stable,0
92,Normal_Operation,Synthetic_PhysicsInformed,9.1,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.1061,0.9886,326.2,44.6,454.302,273.126,-0.8849,34.6,Stable,0
93,Normal_Operation,Synthetic_PhysicsInformed,9.2,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.2831,0.9893,326.5,40.68,445.458,267.809,1.7704,34.6,Stable,0
94,Normal_Operation,Synthetic_PhysicsInformed,9.3,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.263,0.9794,323.2,41.77,450.424,270.795,-0.2019,34.6,Stable,0
95,Normal_Operation,Synthetic_PhysicsInformed,9.4,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.2131,0.9751,321.8,38.71,485.136,291.664,-0.499,34.6,Stable,0
96,Normal_Operation,Synthetic_PhysicsInformed,9.5,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.1896,0.9705,320.3,36.93,501.466,301.482,-0.2342,34.6,Stable,0
97,Normal_Operation,Synthetic_PhysicsInformed,9.6,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.1254,0.9754,321.9,36.15,512.875,308.341,-0.6426,34.7,Stable,0
98,Normal_Operation,Synthetic_PhysicsInformed,9.7,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.2311,0.9727,321.0,33.62,492.875,296.316,1.0571,34.7,Stable,0
99,Normal_Operation,Synthetic_PhysicsInformed,9.8,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.1878,0.9825,324.2,29.37,489.773,294.451,-0.4328,34.7,Stable,0
100,Normal_Operation,Synthetic_PhysicsInformed,9.9,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.0831,0.9873,325.8,22.65,468.306,281.546,-1.047,34.7,Stable,0
101,Normal_Operation,Synthetic_PhysicsInformed,10.0,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.0271,0.9896,326.6,15.76,473.606,284.732,-0.5601,34.8,Stable,0
102,Normal_Operation,Synthetic_PhysicsInformed,10.1,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.0397,0.9861,325.4,18.16,483.655,290.773,0.1256,34.8,Stable,0
103,Normal_Operation,Synthetic_PhysicsInformed,10.2,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.9892,0.9821,324.1,13.66,450.651,270.931,-0.5049,34.8,Stable,0
104,Normal_Operation,Synthetic_PhysicsInformed,10.3,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.9631,0.9786,322.9,8.79,453.841,272.849,-0.2607,34.8,Stable,0
105,Normal_Operation,Synthetic_PhysicsInformed,10.4,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.9679,0.9876,325.9,5.76,446.349,268.345,0.0479,34.8,Stable,0
106,Normal_Operation,Synthetic_PhysicsInformed,10.5,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.8726,0.9932,327.8,3.38,474.548,285.298,-0.9526,34.8,Stable,0
107,Normal_Operation,Synthetic_PhysicsInformed,10.6,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.8192,0.9938,327.9,-0.34,470.568,282.905,-0.5343,34.9,Stable,0
108,Normal_Operation,Synthetic_PhysicsInformed,10.7,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.8291,0.9821,324.1,-0.63,481.604,289.54,0.0987,34.9,Stable,0
109,Normal_Operation,Synthetic_PhysicsInformed,10.8,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.9281,0.9987,329.6,-4.41,478.301,287.554,0.9898,34.9,Stable,0
110,Normal_Operation,Synthetic_PhysicsInformed,10.9,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.9324,1.0124,334.1,-8.15,485.601,291.943,0.0438,34.9,Stable,0
111,Normal_Operation,Synthetic_PhysicsInformed,11.0,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.8181,0.9937,327.9,-9.04,455.186,273.658,-1.1429,34.9,Stable,0
112,Normal_Operation,Synthetic_PhysicsInformed,11.1,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.9128,0.9879,326.0,-5.15,430.656,258.91,0.9461,34.9,Stable,0
113,Normal_Operation,Synthetic_PhysicsInformed,11.2,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.966,0.9808,323.7,-1.14,410.761,246.95,0.5324,34.9,Stable,0
114,Normal_Operation,Synthetic_PhysicsInformed,11.3,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.9065,0.9826,324.3,-2.23,440.217,264.658,-0.5949,34.9,Stable,0
115,Normal_Operation,Synthetic_PhysicsInformed,11.4,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.9208,0.975,321.8,-1.35,428.25,257.464,0.1431,35.0,Stable,0
116,Normal_Operation,Synthetic_PhysicsInformed,11.5,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.9828,0.979,323.1,2.08,445.73,267.973,0.6196,35.0,Stable,0
117,Normal_Operation,Synthetic_PhysicsInformed,11.6,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.9414,0.9791,323.1,5.67,475.507,285.875,-0.4142,35.0,Stable,0
118,Normal_Operation,Synthetic_PhysicsInformed,11.7,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.9364,0.9777,322.6,6.56,486.953,292.756,-0.0495,35.0,Stable,0
119,Normal_Operation,Synthetic_PhysicsInformed,11.8,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.8926,0.9812,323.8,8.47,504.969,303.587,-0.4383,35.0,Stable,0
120,Normal_Operation,Synthetic_PhysicsInformed,11.9,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.7914,0.9767,322.3,18.21,474.531,285.288,-1.0118,35.0,Stable,0
121,Normal_Operation,Synthetic_PhysicsInformed,12.0,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.7955,0.9784,322.9,18.0,499.163,300.097,0.0407,35.0,Stable,0
122,Normal_Operation,Synthetic_PhysicsInformed,12.1,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.9256,0.97,320.1,21.01,511.87,307.736,1.3013,35.0,Stable,0
123,Normal_Operation,Synthetic_PhysicsInformed,12.2,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.8251,0.97,320.1,27.98,521.613,313.594,-1.0052,35.0,Stable,0
124,Normal_Operation,Synthetic_PhysicsInformed,12.3,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.816,0.9722,320.8,29.8,542.88,326.379,-0.0911,35.0,Stable,0
125,Normal_Operation,Synthetic_PhysicsInformed,12.4,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.7855,0.9759,322.1,33.67,539.362,324.265,-0.3042,35.0,Stable,0
126,Normal_Operation,Synthetic_PhysicsInformed,12.5,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.7828,0.976,322.1,35.65,549.822,330.553,-0.0273,35.0,Stable,0
127,Normal_Operation,Synthetic_PhysicsInformed,12.6,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.9068,0.9789,323.0,41.69,550,330.66,1.2398,35.0,Stable,0
128,Normal_Operation,Synthetic_PhysicsInformed,12.7,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.9857,0.9821,324.1,42.7,550,330.66,0.789,35.0,Stable,0
129,Normal_Operation,Synthetic_PhysicsInformed,12.8,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.9919,0.9762,322.1,43.82,506.232,304.346,0.0622,35.0,Stable,0
130,Normal_Operation,Synthetic_PhysicsInformed,12.9,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.9918,0.9802,323.5,47.16,505.446,303.874,-0.0007,35.0,Stable,0
131,Normal_Operation,Synthetic_PhysicsInformed,13.0,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.0665,0.9812,323.8,42.95,473.446,284.636,0.7466,35.0,Stable,0
132,Normal_Operation,Synthetic_PhysicsInformed,13.1,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),49.9856,0.9726,321.0,45.96,467.121,280.833,-0.809,35.0,Stable,0
133,Normal_Operation,Synthetic_PhysicsInformed,13.2,Synth_NigGrid_Bus,Nigeria 330kV Grid (Synthetic),50.0319,0.9745,321.6,45.86,486.469,292.465,0.4635,35.0,Stable,0
